Class	Subsystem	Role	Reactions	Genes	AraCyc Cmpts	SUBA Cmpts	PPDB Cmpts	AraGEM Cmpts	Lit. Cmpts	Reference	Consensus location	Notes
Amino acids	Beta alanine biosynthesis	Dihydropyrimidinase (EC 3.5.2.2)	rxn01626	AT5G12200		r				PMID:19413687	r	"PPDB: not plastid, supported in house experiments; TargetP: secreted; Predotar: endoplasmic reticulum; WolfPsort: plas: 3, E.R.: 3, chlo: 2, cyto: 2, cysk: 2, nucl: 1; Has signal peptide. GFP: Endoplasmic reticulum [PMID:19413687];"
Amino acids	Methionine and cysteine metabolism	S-adenosylmethionine synthetase (EC 2.5.1.6)	rxn00126	AT4G01850		n	n	c			n	"SUBA: GFP nucleous; PPDB: curated location nucleuos; TargetP cytosol; Predotar: elsewhere; TMHMM out of membrane; WolfPsort:  cysk: 9.5, cysk_plas: 6, cyto: 3"
Amino acids	Methionine and cysteine metabolism	DNA (cytosine-5)-methyltransferase 1 (EC 2.1.1.37)		AT4G13610  		n	c			PMID:15634699	n	"SUBAcon: nucleous; PPDB: TargetP cytoplasm; Predotar elsewhere; and WolfPsort  nucl: 8, cyto: 3, chlo: 1, mito: 1; No signal peptide."
Amino acids	Methionine and cysteine metabolism	DNA (cytosine-5)-methyltransferase 1 (EC 2.1.1.37)		AT5G49160 		n	c			PMID:25009302	n	SUBAcon: nucleous; PPDB: Target P cytoplasm; Predotar elsewhere; WolfPsort: nucleous; No signal peptide
Amino acids	Methionine and cysteine metabolism	DNA (cytosine-5)-methyltransferase 1 (EC 2.1.1.37)		AT4G14140 						PMID:17827277	n	"SUBAcon: nucleous; PPDB: TargetP cytoplasm; Predotar elsewhere; and WolfPsort  plas: 10, nucl: 3; No signal peptide."
Fatty acids	Fatty acid biosynthesis (plastidial)	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	"rxn00947, rxn05736, rxn09449, rxn12282, rxn37324"	AT2G47240			r			 PMID:21790813	r	"SUBA: MS : 1 result each: golgi and cytosol; PPDB: curated: ER; Predotar: elsewhere; WolfPsort: cyto: 8, chlo: 2, nucl: 2, mito: 1; No signal peptide"
Cofactors	"Isoprenoid biosynthesis, nonmevalonate branch"	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	rxn19646	AT1G62330		g	c			PMID:22430844	g	"SUBA: MS golgi; PPDB: targetP: cytosol; Predotar: elsewhere; WolfPsort: plas: 10, chlo: 1, nucl: 1, vacu: 1; No signal peptide. Membrane protein"
Cofactors	"Isoprenoid biosynthesis, mevalonate branch"	Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)	rxn01501	AT2G17370			r	"c, r, v"		PMID:8302869	r	"PPDB: microsomal, ER curated; Predotar: elsewhere; WolfPsort: E.R.: 6, cyto: 5, chlo: 1, nucl: 1; Has signal peptide"
Cofactors	Plastoquinone biosynthesis	Solanesyl diphosphate synthase (EC 2.5.1.85)	"rxn29020, rxn29021"	AT1G78510	r	r	"d, m"		r	PMID:15653808	r	SUBA: GFP endoplasmic reticulum; PPDB: curated plastid and mito; targetP: plastid; Predotar and WolfPsort: plastid; No signal peptide
Cofactors	Biotin biosynthesis	Deoxyadenosine phosphorylase (EC 2.4.2.28)	(1) 5'-Deoxyadenosine[0] + (1) Orthophosphate[c0] <=> (1) Adenine[0] + (1) 5-Deoxy-D-ribose 1-phosphate[c0]	AT4G28940			e				"e, r"	"PPDB: targetP secreted; Predotar: ER: WolfPsort: extr: 5, chlo: 2, cyto: 2, mito: 2, plas: 1, vacu: 1; Has signal peptide"
Cofactors	Biotin biosynthesis	Deoxyadenosine phosphorylase (EC 2.4.2.28)	(1) 5'-Deoxyadenosine[0] + (1) Orthophosphate[c0] <=> (1) Adenine[0] + (1) 5-Deoxy-D-ribose 1-phosphate[c0]	AT4G24340			e				"e, r"	"PPDB: targetP secreted; Predotar: ER: WolfPsort: chlo: 12, vacu: 1 ; Has signal peptide"
Cofactors	Folate biosynthesis	Gamma-glutamyl hydrolase (EC 3.4.19.9)	rxn28274	AT1G78670		v	v				v	GGH3 lacks detectable enzyme activity [PMID:15961386]. SUBA: vacuolar by MS data; PPDB: predicted secretory class by targetP
Cofactors	Folate biosynthesis	Gamma-glutamyl hydrolase (EC 3.4.19.9)	rxn28274	AT1G78680	v	v	v		v		v	"SUBA: vacuolar with MS data [PMID:15539469]; Enzymatic assay in isolated organelle [PMID:
  15539469] and protein protein interactions: [PMID:21798944]; PPDB: predicted secretory system by targetP; reported vacuolar same references as SUBA"
Cofactors	Folate biosynthesis	Gamma-glutamyl hydrolase (EC 3.4.19.9)	rxn28274	AT1G78660		v	v		v		v	"SUBA and PPDB give same curated location given in literature: Located in vacuoles experimentally by enzymatic essay in isolated organelles [PMID:
    15961386]"
Cofactors	"Niacin, NAD and NADP biosynthesis"	Purine nucleosidase (EC 3.2.2.1)	rxn15165	AT5G18860	w	e	e				e	This is not an NAD specific enzyme. SUBA: MS extracellular: PPDB: TargetP excreted
