Class	Subsystem	Role	Reactions	Genes	AraCyc Cmpts	SUBA Cmpts	PPDB Cmpts	AraGEM Cmpts	Lit. Cmpts	Reference	Consensus location	Notes
Central Carbon	Glycolysis and Gluconeogenesis	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	rxn01106	AT1G09780		d	c	c		PMID:12953116	c, d	SUBA: MS cytosol, plasma membrane and plastid; PPDB: curated cytosol [PMID:12953116] (outside mito) and targetP predicted idem; Predotar elsewhere; WolfPsort:  cyto: 9, chlo: 3, mito: 1; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn01334, rxn19683	AT4G26520			c	c			c, d	SUBA: No data: PPDB: targetP predicted cytoplasm; Predotar: elsewhere; WolfPsort: chlo: 5, cyto: 5, pero: 3; No signal peptide 
Central Carbon	Glycolysis and Gluconeogenesis	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn01334, rxn19683	AT4G26530		d	c	c			c, d	SUBA: MS mainly plastid; PPDB: targetP predicted cytosol; Predotar: elsewhere; WolfPsort:  cyto: 8, chlo: 3, pero: 3; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn01334, rxn19683	AT5G03690		d	m	c			c, d	SUBA: 2 MS results plastid; PPDB: targetP mito; Predotar: elsewhere; WolfPsort: cyto: 9, chlo: 2, pero: 2; No signal peptide 
Central Carbon	Glycolysis and Gluconeogenesis	Malate dehydrogenase (EC 1.1.1.37)	rxn20068	AT5G56720		d	c	d, m, x		PMID:24361574	c, d	SUBA: MS one result plastid; PPDB: targetP cytosolic; Predotar: elsewhere; WolfPsort: cyto: 11, chlo: 1, pero: 1; No signal peptide. This enzyme has an intra membrane section according to TMHMM result.
Central Carbon	Glycolysis and Gluconeogenesis	Phosphoglycerate kinase (EC 2.7.2.3)	rxn01100	AT3G12780		c, d	d	c			c, d	SUBA: GFP and MS cytosol and plastid; PPDB: proteomes, in house experiments and targetP plastid; Predotar and WolfPsort: plastid; Has signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90)	rxn15298	AT1G12000			d				c, d	SUBA: uncertain; PPDB: targetP: plastid; Predotar: plastid and elsewhere; WolfPsort: chlo: 7, cyto: 6; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT3G25960			m	c, d			c, d	PPDB: targetP mito; Predotar: plastid and elsewhere; WolfPsort: nucl: 6, chlo: 4.5, cyto: 3, chlo_mito: 3; No signal peptide; Location very uncertain 
Central Carbon	Glycolysis and Gluconeogenesis	Pyruvate,phosphate dikinase (EC 2.7.9.1)	rxn00151	AT4G15530	c	d	c, d		c, d	PMID:16915520	c, d	SUBA: GFP and MS plastid; PPDB: stroma proteome and in house experiments; targetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 7, chlo: 3, pero: 2, mito: 1; No signal peptide. Lit: plastidial and cytosolic [PMID:16915520]
Central Carbon	Glycolysis and Gluconeogenesis	Triosephosphate isomerase (EC 5.3.1.1)	rxn27386	AT2G21170	d	c, d, m	d, m	d		PMID:20097871	c, d	SUBA: GFP plastid and cytosol; MS: plastid, cytosol and mito; PPDB: curated plastid and mito; Predotar: mainly plastid; WolfPsort: chlo: 12.5, chlo_mito: 7.5; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Enolase (EC 4.2.1.11)	rxn00459	AT1G74030	d	c, d, n	d	c, d		PMID:19223001	c, d, n	SUBA: GFP: cytosol, nucleous and plastid. MS majority plastid. PPDB: curated and targetP plastid; Predotar: elsewhere, mito and plastid; WolfPsort: chlo: 6.5, chlo_mito: 4.5, cyto: 3, pero: 2, mito: 1.5; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Malate dehydrogenase (EC 1.1.1.37)	rxn20068	AT1G53240	m	c, d, m	m	d, m, x		PMID:20876337	c, d, m	SUBA: MS mito, plasma membrane and plastid; PPDB: curated and targetP: mito; Predotar and WolfPsort: mito: has target peptide
Central Carbon	Glycolysis and Gluconeogenesis	6-phosphofructokinase (EC 2.7.1.11)	rxn15493	AT2G22480		d	d	c	d	PMID:17485088	d	SUBA: MS: plastid; PPDB: curated and targetP predicted plastid; Predotar: plastid and elsewhere; WolfPsort: plastid; No signal peptide. Lit: plastid by GFP [PMID:17485088]
Central Carbon	Glycolysis and Gluconeogenesis	6-phosphofructokinase (EC 2.7.1.11)	rxn15493	AT5G61580			d	c	d	PMID:17485088	d	SUBA: MS: plastid, one result; PPDB: curated and targetP predicted: plastid; Predotar: elsewhere and plastid; WolfPsort: chlo: 12, cyto: 2; No signal peptide; Lit: plastid by GFP [PMID:17485088]
Central Carbon	Glycolysis and Gluconeogenesis	Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)	rxn15494	AT3G54050		d	d	c			d	SUBA: MS plastid multiple results; PPDB: curated, in house experiments and targetP predicted plastid; Predotar and WolfPsort: plastid; Has signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)	rxn15494	AT5G64380		d	d	c			d	SUBA: MS plastid (3 results); PPDB: plastid by proteomics and in house experiments, targetP mito; Predotar: elsewhere, plastid and mito; WolfPsort: chlo: 9.5, chlo_mito: 7, mito: 3.5; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn01334, rxn19683	AT2G01140	d, m	d	d	c		PMID:16461379	d	SUBA: MS and GFP: plastid; PPDB: various proteomes, in house experiments and targetP plastid; Predotar and WolfPsort: plastid; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn01334, rxn19683	AT2G21330	d	d	d	c		PMID:22323273	d	SUBA: MS and GFP: plastid; PPDB: various proteomes, in house experiments and targetP plastid; Predotar: plastid and elsewhere;  and WolfPsort: chlo: 10, mito: 4; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn01334, rxn19683	AT4G38970	d	d	d	c			d	SUBA: GFP and MS plastid; PPDB: Curated and in house experiments: plastoglobules and plastid; TargetP predicted plastid; Predotar: plastid; WolfPsort: chlo: 7, mito: 3, nucl_plas: 2.5, plas: 2; No signal peptide
Central Carbon	Glycolysis and Gluconeogenesis	Glucose-6-phosphate isomerase (EC 5.3.1.9)	rxn02380, rxn15364	AT4G24620		d	d	c		PMID:10806248	d	SUBA: MS multiple results plastid; PPDB: proteomes, in house experiments and targetP predicted: plastid; Predotar: plastid; WolfPsort: chlo: 11, mito: 3; Has signal peptide.
