Arabidopsis Centroid	Function	Alyrata	Athaliana	Atrichopoda	Bdistachyon	Cclementina	Cgrandiflora	Cpapaya	Creinhardtii	Crubella	Csativus	Csinensis	CsubellipsoideaC169	Egrandis	Esalsugineum	Fvesca	Gmax	Graimondii	Lusitatissimum	Mdomestica	Mesculenta	Mguttatus	MspRCC299	Mtruncatula	Olucimarinus	Osativa	Ppatens	Ptrichocarpa	Pvulgaris	Rcommunis	Sbicolor	Sitalica	Slycopersicum	Smoellendorffii	Spolyrhiza	Stuberosum	Tcacao	Vcarteri	Vvinifera	Zmays
Athaliana|:|ATCG00560.1	Photosystem II protein PsbL	893949			Bradi3g03941.1, Bradi3g27337.1													Gorai.007G008800.1, Gorai.007G253400.1														Si020865m, Si020866m	Solyc04g049240.1.1							
Athaliana|:|AT2G23800.1	Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29) / Geranylgeranyl-diphosphate synthase (EC 2.5.1.29)	900865					Cagra.5224s0004.1			Carubv10025339m					Thhalv10000201m																									
Athaliana|:|AT3G14550.1	Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29) / Geranylgeranyl-diphosphate synthase (EC 2.5.1.29)	478873								Carubv10016413m, Carubv10014047m					Thhalv10022044m																									
Athaliana|:|AT3G14510.1	Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)	915906				Ciclev10002201m, Ciclev10003969m, Ciclev10002259m						orange1.1g024239m	12737	Eucgr.F02847.1											17563									231100, 133501				Vocar20013357m		GRMZM2G058404_P01
Athaliana|:|AT3G20160.1	Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)	898426					Cagra.0316s0051.1, Cagra.0316s0050.1			Carubv10014070m, Carubv10015876m					Thhalv10022207m, Thhalv10021022m, Thhalv10022318m																									
Athaliana|:|AT2G18620.1	Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)	480765		evm_27.model.AmTr_v1.0_scaffold00566.1		Ciclev10025935m, Ciclev10012011m, Ciclev10012067m					Cucsa.101720.1	orange1.1g037716m, orange1.1g038854m			Thhalv10022750m	mrna05919.1-v1.0-hybrid	Glyma.01G178300.1	Gorai.011G103000.1	Lus10017624, Lus10033582, Lus10009136, Lus10028507, Lus10028508	MDP0000556668, MDP0000175247		Migut.K00895.1						Potri.017G124600.1, Potri.017G124700.1, Potri.004G090600.1	Phvul.001G139700.1							PGSC0003DMP400063612	Thecc1EG019161t1			
Athaliana|:|AT2G18640.1	Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29) / Geranylgeranyl-diphosphate synthase (EC 2.5.1.29)	900253, 480767					Cagra.1511s0003.1			Carubv10016271m					Thhalv10022745m																									
Athaliana|:|AT3G29430.1	Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)																																							
Athaliana|:|AT3G14530.1	Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)																																							
Athaliana|:|AT1G49530.1	Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29) / Geranylgeranyl-diphosphate synthase (EC 2.5.1.29)	891852																																						
Athaliana|:|AT4G36810.1	Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29) / Geranylgeranyl-diphosphate synthase (EC 2.5.1.29)	490952		evm_27.model.AmTr_v1.0_scaffold00059.110	Bradi2g08730.1, Bradi1g23510.1	Ciclev10013734m	Cagra.4909s0007.1	evm.model.supercontig_158.18, evm.model.supercontig_116.45	Cre12.g484200.t1.2	Carubv10005063m	Cucsa.250460.1	orange1.1g037594m, orange1.1g038404m		Eucgr.H01235.1, Eucgr.H01236.1	Thhalv10025481m	mrna29522.1-v1.0-hybrid	Glyma.02G059000.1, Glyma.19G144800.1, Glyma.11G063900.1, Glyma.16G141700.1	Gorai.005G054800.1, Gorai.002G251300.1, Gorai.011G133100.1, Gorai.011G102700.1, Gorai.007G206700.1, Gorai.007G051300.1, Gorai.011G102800.1, Gorai.002G251400.1, Gorai.005G120800.1	Lus10022499, Lus10017625, Lus10023259, Lus10016803, Lus10009138, Lus10028509, Lus10009137	MDP0000195251, MDP0000576390, MDP0000128359, MDP0000252274, MDP0000668869	cassava4.1_034107m, cassava4.1_010020m, cassava4.1_009929m	Migut.H00197.1, Migut.H00196.1		Medtr8g078070.1, Medtr5g019460.1		LOC_Os07g39270.1, LOC_Os01g14630.1	Phpat.018G049700.1, Phpat.021G052200.1	Potri.007G031100.1, Potri.005G127100.1	Phvul.002G026400.1, Phvul.003G251500.1	27451.m000253, 29646.m001058	Sobic.002G353300.1, Sobic.003G111500.1	Si004002m, Si030285m	Solyc02g085720.1.1, Solyc02g085710.2.1, Solyc04g079960.1.1, Solyc11g011240.1.1, Solyc02g085700.1.1	231193		PGSC0003DMP400027464, PGSC0003DMP400065371, PGSC0003DMP400048439, PGSC0003DMP400069148	Thecc1EG019158t1, Thecc1EG000455t1, Thecc1EG019156t1		GSVIVT01017730001, GSVIVT01009654001	AC194970.5_FGP001, GRMZM2G102550_P01
