Class	Subsystem	Role	Reactions	Genes	AraCyc Cmpts	SUBA Cmpts	PPDB Cmpts	AraGEM Cmpts	Lit. Cmpts	Reference	Consensus location	Notes	
Central Carbon	Glycolysis and Gluconeogenesis	6-phosphofructokinase (EC 2.7.1.11)	rxn15493	AT4G29220			c	c	"b, c"	PMID:17485088	"c, b"	"SUBA: uncertain: 1 result MS golgi and nucleous and plasma membrane each; PPDB: targetP predicted cytosol; Predotar: elsewhere; WolfPsort: chlo: 4, cyto: 4, mito: 4, nucl: 1;  No signal peptide. Lit: cytosol and plasma membrane periphery by GFP [PMID:17485088]; Has a small intra membrane section by TMHMM analysis."	
Central Carbon	Glycolysis and Gluconeogenesis	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)"	rxn01106	AT3G08590			c	c		PMID:21813794	c	"SUBA: MS cytosol and plasma membrane; PPDB: not plastid in house experiments and targetP predicted: cytosol; Predotar: elsewhere, WolfPsort: cyto: 10, pero: 3; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	6-phosphofructokinase (EC 2.7.1.11)	rxn15493	AT4G26270			c	c	c	PMID:17485088	c	"SUBA: uncertain: 1 result MS golgi and nucleous each; PPDB: targetP predicted cytosol; Predotar: elsewhere; WolfPsort: cyto: 7, cysk: 4, nucl: 2. No signal peptide. Lit: cytosol by GFP [PMID:17485088]"	
Central Carbon	Glycolysis and Gluconeogenesis	6-phosphofructokinase (EC 2.7.1.11)	rxn15493	AT4G32840			c	c	c	PMID:17485088	c	"SUBA: uncertain: 1 result MS cytosol and plasma membrane each; PPDB: targetP predicted cytosol; Predotar: elsewhere; WolfPsort: cyto: 8, cysk: 4.5, cysk_plas: 3; No signal peptide. Lit: cytosol by GFP [PMID:17485088]"	
Central Carbon	Glycolysis and Gluconeogenesis	6-phosphofructokinase (EC 2.7.1.11)	rxn15493	AT5G47810			m	c	c	PMID:17485088	c	"SUBA: No data; PPDB: targetP predicted mito; Predotar: elsewhere; WolfPsort: mito: 9.5, chlo_mito: 7, chlo: 3.5; No signal peptide. Lit: cytosol by GFP [PMID:17485088] "	
Central Carbon	Glycolysis and Gluconeogenesis	6-phosphofructokinase (EC 2.7.1.11)	rxn15493	AT5G56630			c	c	c	PMID:17485088	c	"SUBA: uncertain: 1 result MS cytosol golgi and vacuole each; PPDB: targetP predicted cytosol; Predotar: elsewhere mainly and ER; WolfPsort: cyto: 4, mito: 4, chlo: 3, nucl: 2; No signal peptide. Lit: cytosol by GFP [PMID:17485088]"	
Central Carbon	Glycolysis and Gluconeogenesis	"Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)"	rxn15494	AT1G43670			c	c			c	"PPDB: not plastid supported by in house experiments, targetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 5, chlo: 4, nucl: 2, plas: 2. No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	"rxn01334, rxn19683"	AT2G36460			c	c			c	"SUBA: MS plasma membrane, plastid and cytosol; PPDB: targetP cytosol; curated cytosol [PMID:12953116]; Predotar: elsewhere; WolfPsort: cyto: 7, chlo: 2, pero: 2, vacu: 1.5, E.R._vacu: 1.5; No signal peptide. Lit: Enzyme in cytosol but associated with outer mito membrane, determined by GFP [PMID:12953116]"	
Central Carbon	Glycolysis and Gluconeogenesis	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	"rxn01334, rxn19683"	AT3G52930			c	c			c	"SUBA: MS plastid, vacuole and plasma membrane; PPDB: targetP predicted and curated: cytosol [PMID:12953116] ; Predotar: elsewhere; WoflPsort: cyto: 5, chlo: 3, E.R.: 3, mito: 2; No signal peptide;  Enzyme in cytosol but associated with outer mito membrane [PMID:12953116]"	
Central Carbon	Glycolysis and Gluconeogenesis	Glucose-6-phosphate isomerase (EC 5.3.1.9)	"rxn02380, rxn15364"	AT5G42740			c	c			c	PPDB: targetP predicted cytosol; Not plastid supported by in house experiments; Predotar and WolfPsort: cytosol; No signal peptide.	
Central Carbon	Glycolysis and Gluconeogenesis	Glycerol-3-phosphate dehydrogenase [NAD+] (EC 1.1.1.8)	"rxn27460, rxn27898"	AT2G41540			c			PMID:16415206	c	"PPDB: curated cytosol; Predotar: elsewhere; WolfPsort: cyto: 4, E.R.: 3, cysk: 2, chlo: 1, nucl: 1, extr: 1, vacu: 1; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Hexokinase (EC 2.7.1.1)	"rxn01169, rxn15121, rxn15249, rxn15435, rxn20176"	AT1G50460		m	c	c		PMID:12953116	c	"SUBA: GFP and MS multiple data mito; PPDB:  targetP secreted; curated: intermembrane space/outer mitochondrial membrane GFP ; activity isolated mitochondria removed by protease [PMID:12953116]; Predotar: ER; WolfPsort: chlo: 12, cyto: 1; Has signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Hexokinase (EC 2.7.1.1)	"rxn01169, rxn15121, rxn15249, rxn15435, rxn20176"	AT2G19860		m	c	c			c	"SUBA: GFP and MS multiple data mito; PPDB:  targetP secreted;  Predotar: elsewhere; WolfPsort: chlo: 12, nucl: 1; Has signal peptide. Lit: GFP mito but activity removed by protease treatment of mitochondria [PMID:23257241]"	
Central Carbon	Glycolysis and Gluconeogenesis	Malate dehydrogenase (EC 1.1.1.37)	rxn20068	AT1G04410			c	"d, m, x"			c	"SUBA: MS plasma membrane, plastid and vacuole; PPDB: curated and targetP cytosol; Predotar and WolfPsort of maize homolog: cytoplasm."	
Central Carbon	Glycolysis and Gluconeogenesis	Malate dehydrogenase (EC 1.1.1.37)	rxn20068	AT5G43330			c	"d, m, x"			c	" SUBA: uncertain; PPDB: targetP cytoplasm; Predotar: elsewhere; WolfPsort: cyto: 7, chlo: 3.5, chlo_mito: 2.5, nucl: 1, plas: 1; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	NADP-dependent malic enzyme (EC 1.1.1.40)	rxn00161	AT2G19900			c		c	PMID:16113210	c	"PPDB: targetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 9, chlo: 5; No signal peptide;  Lit: cytosol [PMID:16113210]"	
Central Carbon	Glycolysis and Gluconeogenesis	NADP-dependent malic enzyme (EC 1.1.1.40)	rxn00161	AT5G11670	c		c		c	PMID:16113210	c	 SUBA: MS plasma membrane multiple results; PPDB: curated and targetP cytosol; Predotar and WolfPsort: cytosol; No signal peptide; Lit: cytosol [PMID:16113210]	
Central Carbon	Glycolysis and Gluconeogenesis	NADP-dependent malic enzyme (EC 1.1.1.40)	rxn00161	AT5G25880	c		c		c	PMID:16113210	c	 PPDB: curated and targetP cytosol; Lit: cytosol;  Predotar and WolfPsort: cytosol; No signal peptide; [PMID:16113210]	
Central Carbon	Glycolysis and Gluconeogenesis	Non-phosphorylating glyceraldehyde-3-phosphate dehydrogenase (NADP) (EC 1.2.1.9)	rxn00779	AT2G24270			c			PMID:16927206	c	"SUBA: MS 2 results plastid, one cytosol and one plasma membrae; PPDB: curated cytosol [PMID:16927206]; targetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 8, cysk: 3, chlo: 2; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)	rxn00247	AT5G65690			c	c			c	"PPDB: targetP cytosol; Predotar: elsewhere; WolfPsort: nucl: 5, cyto: 3, cysk: 3, chlo: 1, plas: 1; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	rxn20508	AT1G53310			c				c	"SUBA: MS mainly plasma membrane, but it has not intra membrane structure; PPDB: targetP cytosol; Predotar and WolfPsort: cytosol; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	rxn20508	AT1G68750			c				c	"PPDB: targetP cytosol; Predotar: cytosol; WolfPsort: nucl: 7, cyto: 5, chlo: 1; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	rxn20508	AT2G42600			c				c	"SUBA: MS mainly plasma membrane, but it has not intra membrane structure; PPDB: targetP cytosol, not plastid according to in house experiments; Predotar and WolfPsort: cytosol; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	rxn20508	AT3G14940			c				c	SUBA: MS one result vacuole; PPDB: targetP cytosol; Predotar and WolfPsort: cytosol; No signal peptide.	
Central Carbon	Glycolysis and Gluconeogenesis	Phosphoglycerate kinase (EC 2.7.2.3)	rxn01100	AT1G79550			c	c			c	"SUBA: MS nucleous, plastid, vacuole, 2 results each; PPDB: not plastid according to in house experiments; TargetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 8, chlo: 4, pero: 2; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90)	rxn15298	AT1G76550			c				c	"SUBA: uncertain; PPDB: targetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 11, vacu: 1.5, E.R._vacu: 1.5; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT2G36580			c	"c, d"			c	"SUBA: uncertain; PPDB: targetP predicted cytosol; Predotar: elsewhere; WolfPsort: cyto: 10, chlo: 3. No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT3G04050			c	"c, d"			c	"PPDB: targetP cytosol; Predotar: elsewhere and plastid; WolfPsort: chlo: 5.5, cyto: 4, chlo_mito: 3.5, nucl: 3; No signal peptide
"	
Central Carbon	Glycolysis and Gluconeogenesis	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT3G52990				"c, d"			c	"SUBA: MS 2 results plasma membrane but no intra membrane sections by TMHMM result; PPDB: not plastid supported in house experiments; Predotar: elsewhere; WolfPsort: cyto: 7, chlo: 5, pero: 1; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT3G55650			c	"c, d"		PMID:12953116	c	"PPDB: curated and targetP cytosol; Predotar: plastid and elsewhere; WolfPsort: cyto: 6, nucl: 4, chlo: 3.5, chlo_mito: 2.5; No signal peptide. Lit: Enzyme in cytosol but associated with outer mito membrane,[PMID:12953116]
"	
Central Carbon	Glycolysis and Gluconeogenesis	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT3G55810			m	"c, d"			c	"PPDB: targetP mito; Predotar: mainly elsewhere; WolfPsort: chlo: 7, cyto: 4, nucl: 2; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT4G26390			c	"c, d"			c	"PPDB: targetP cytoplasm; Predotar: mainly elsewhere; WolfPsort: chlo: 7, cyto: 5, nucl: 1;  No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT5G08570			c	"c, d"			c	"PPDB: curated location and targetP cytosol; Predotar: elsewhere; WolfPsort:  cyto: 10, chlo: 2, cysk: 2; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT5G56350			c	"c, d"			c	"PPDB: targetP cytosol; Predotar: elsewhere and mito; WolfPsort: chlo: 10, E.R.: 4; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT5G63680			c	"c, d"			c	PPDB: curated and targetP cytosolic; Predotar and WolfPsort cytosol; No signal peptide	
Central Carbon	Glycolysis and Gluconeogenesis	Triosephosphate isomerase (EC 5.3.1.1)	rxn27386	AT3G55440			m	d			c	"SUBA: MS plasma membrane, plastid and vacuole; but it has no intra membrane section; PPDB: not in plastid in house experiments; curated mito [PMID:14671022]; predotar: elsewhere; WolfPsort:  cyto: 5, chlo: 4, pero: 3, mito: 1; No signal peptide. Activity in mitochondria removed by protease"	
Central Carbon	Glycolysis and Gluconeogenesis	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)"	rxn01106	AT3G30841			c				c	"PPDB: targetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 10, pero: 3; No signal peptide
"	
Central Carbon	Glycolysis and Gluconeogenesis	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)"	rxn01106	AT4G09520			c				c	"PPDB: targetP cytosol; Predotar and WolfPsort: cytosol; No signal peptide
"	
Central Carbon	Glycolysis and Gluconeogenesis	Sugar-terminal-phosphatase (EC 3.1.3.9/ EC 3.1.3.58)		AT2G38740			c			PMID:23179445	c	"PPDB: targetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 10.5, cyto_E.R.: 6, chlo: 1, cysk: 1"	
Central Carbon	Glycolysis and Gluconeogenesis	Enolase (EC 4.2.1.11)	rxn00459	AT2G36530		"c, n"	"c, n"	"c, d"		PMID:12032082 	"c, n"	"SUBA: GFP: cytosol and nucleous, MS: plasma membrane and vacuole; Predotar: elsewhere and mito; WolfPsort: cyto: 6.5, chlo: 4, cyto_nucl: 4, E.R.: 2; No signal peptide. Has intra membrane section TMHMM result, hence it could be attached to plasma membrane and active in the cytosol region; Lit: Enzyme in cytosol but associated with outer mito membrane, determined by GFP [PMID:12953116]
"	
Central Carbon	Glycolysis and Gluconeogenesis	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)"	rxn01106	AT1G09780		d	c	c		PMID:12953116	"c, d"	"SUBA: MS cytosol, plasma membrane and plastid; PPDB: curated cytosol [PMID:12953116] (outside mito) and targetP predicted idem; Predotar elsewhere; WolfPsort:  cyto: 9, chlo: 3, mito: 1; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	"rxn01334, rxn19683"	AT4G26520			c	c			"c, d"	"SUBA: No data: PPDB: targetP predicted cytoplasm; Predotar: elsewhere; WolfPsort: chlo: 5, cyto: 5, pero: 3; No signal peptide "	
Central Carbon	Glycolysis and Gluconeogenesis	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	"rxn01334, rxn19683"	AT4G26530		d	c	c			"c, d"	"SUBA: MS mainly plastid; PPDB: targetP predicted cytosol; Predotar: elsewhere; WolfPsort:  cyto: 8, chlo: 3, pero: 3; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	"rxn01334, rxn19683"	AT5G03690		d	m	c			"c, d"	"SUBA: 2 MS results plastid; PPDB: targetP mito; Predotar: elsewhere; WolfPsort: cyto: 9, chlo: 2, pero: 2; No signal peptide "	
Central Carbon	Glycolysis and Gluconeogenesis	Malate dehydrogenase (EC 1.1.1.37)	rxn20068	AT5G56720		d	c	"d, m, x"		PMID:24361574	"c, d"	"SUBA: MS one result plastid; PPDB: targetP cytosolic; Predotar: elsewhere; WolfPsort: cyto: 11, chlo: 1, pero: 1; No signal peptide. This enzyme has an intra membrane section according to TMHMM result."	
Central Carbon	Glycolysis and Gluconeogenesis	Phosphoglycerate kinase (EC 2.7.2.3)	rxn01100	AT3G12780		"c, d"	d	c			"c, d"	"SUBA: GFP and MS cytosol and plastid; PPDB: proteomes, in house experiments and targetP plastid; Predotar and WolfPsort: plastid; Has signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90)	rxn15298	AT1G12000			d				"c, d"	"SUBA: uncertain; PPDB: targetP: plastid; Predotar: plastid and elsewhere; WolfPsort: chlo: 7, cyto: 6; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Pyruvate kinase (EC 2.7.1.40)	rxn00148	AT3G25960			m	"c, d"			"c, d"	"PPDB: targetP mito; Predotar: plastid and elsewhere; WolfPsort: nucl: 6, chlo: 4.5, cyto: 3, chlo_mito: 3; No signal peptide; Location very uncertain "	
Central Carbon	Glycolysis and Gluconeogenesis	"Pyruvate,phosphate dikinase (EC 2.7.9.1)"	rxn00151	AT4G15530	c	d	"c, d"		"c, d"	PMID:16915520	"c, d"	"SUBA: GFP and MS plastid; PPDB: stroma proteome and in house experiments; targetP cytosol; Predotar: elsewhere; WolfPsort: cyto: 7, chlo: 3, pero: 2, mito: 1; No signal peptide. Lit: plastidial and cytosolic [PMID:16915520]"	
Central Carbon	Glycolysis and Gluconeogenesis	Triosephosphate isomerase (EC 5.3.1.1)	rxn27386	AT2G21170	d	"c, d, m"	"d, m"	d		PMID:20097871	"c, d"	"SUBA: GFP plastid and cytosol; MS: plastid, cytosol and mito; PPDB: curated plastid and mito; Predotar: mainly plastid; WolfPsort: chlo: 12.5, chlo_mito: 7.5; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Enolase (EC 4.2.1.11)	rxn00459	AT1G74030	d	"c, d, n"	d	"c, d"		PMID:19223001	"c, d, n"	"SUBA: GFP: cytosol, nucleous and plastid. MS majority plastid. PPDB: curated and targetP plastid; Predotar: elsewhere, mito and plastid; WolfPsort: chlo: 6.5, chlo_mito: 4.5, cyto: 3, pero: 2, mito: 1.5; No signal peptide"	
Central Carbon	Glycolysis and Gluconeogenesis	Enolase (EC 4.2.1.11)	rxn00459	AT2G29560		"c, n"	c	"c, d"		PMID:20002588	"c, n"	"SUBA: GFP cytosol and nucleous; PPDB: curated and targetP cytosol; Predotar: elsewhere; WolfPsort:  cyto: 8, nucl: 3, chlo: 2; No signal peptide
"	
Central Carbon	Glycolysis and Gluconeogenesis	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	rxn19762	AT3G04120		"c, m, n"	c	d	"c, n"		"c, n"	"SUBA: GFP: cytosol, mito, nucleous, plasma membrane; MS: mito, plastid, plasma membrane, vacuole. It is not a mebrane protein TMHMM result. Predotar: elsewhere and mito; WolfPsort: cytosol; No signal peptide. Lit: nucleous GFP [PMID:23569110]; cytosol [PMID:18820081]; Activity by isolated mitochondria removed by protease"	
Central Carbon	Glycolysis and Gluconeogenesis	Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)	rxn00247	AT4G37870	c	"c, n"	n	c			"c, n"	"SUBA: GFP: cytosol and nucleous; PPDB: curated nucleous [PMID:15496452], targetP cytosol; Predotar: elsewhere; WolfPsort: chlo: 6, nucl: 3, cyto: 2, plas: 1, pero: 1; No signal peptide"	
