OG0006824	Athaliana_TAIR10||AT1G63970.1	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12) # plastid
OG0000359	Athaliana_TAIR10||AT4G39770.1	Trehalose-6-phosphate phosphatase (EC 3.1.3.12)
OG0000359	Athaliana_TAIR10||AT4G12430.1	Trehalose-6-phosphate phosphatase (EC 3.1.3.12)
OG0000359	Athaliana_TAIR10||AT1G35910.1	Trehalose-6-phosphate phosphatase (EC 3.1.3.12)
OG0000359	Athaliana_TAIR10||AT1G22210.1	Trehalose-6-phosphate phosphatase (EC 3.1.3.12)
OG0000359	Athaliana_TAIR10||AT5G10100.1	Trehalose-6-phosphate phosphatase (EC 3.1.3.12)
OG0000359	Athaliana_TAIR10||AT5G51460.1	Trehalose-6-phosphate phosphatase (EC 3.1.3.12)
OG0000359	Athaliana_TAIR10||AT2G22190.1	Trehalose-6-phosphate phosphatase (EC 3.1.3.12)
OG0000359	Athaliana_TAIR10||AT1G78090.1	Trehalose-6-phosphate phosphatase (EC 3.1.3.12)
OG0000359	Athaliana_TAIR10||AT4G22590.1	Trehalose-6-phosphate phosphatase (EC 3.1.3.12)
OG0000359	Athaliana_TAIR10||AT5G65140.1	Trehalose-6-phosphate phosphatase (EC 3.1.3.12)
OG0006476	Athaliana_TAIR10||AT5G14800.1	Pyrroline-5-carboxylate reductase (EC 1.5.1.2) # cytosol # plastid
OG0002238	Athaliana_TAIR10||AT3G61580.1	Delta-8-sphingolipid desaturase (EC 1.14.19.4)
OG0002238	Athaliana_TAIR10||AT2G46210.1	Delta-8-sphingolipid desaturase (EC 1.14.19.4)
OG0000974	Athaliana_TAIR10||ATCG01110.1	Uncurated
OG0000974	Athaliana_TAIR10||ATMG00510.1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2 (EC 1.6.5.3) (EC 1.6.99.3) # mitointer
OG0004730	Athaliana_TAIR10||AT2G43100.1	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) / Methylthioalkylmalate isomerase small subunit (EC 5.4.4.-) # plastid
OG0004730	Athaliana_TAIR10||AT3G58990.1	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) / Methylthioalkylmalate isomerase small subunit (EC 5.4.4.-) # plastid
OG0004730	Athaliana_TAIR10||AT2G43090.1	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) # plastid
OG0004921	Athaliana_TAIR10||AT5G03430.1	FMN adenylyltransferase, type 2 eukaryotic (EC 2.7.7.2)
OG0000609	Athaliana_TAIR10||AT1G02205.3	Fatty aldehyde decarbonylase (EC 4.1.99.-)
OG0000609	Athaliana_TAIR10||AT1G02190.1	Uncurated
OG0000609	Athaliana_TAIR10||AT5G57800.1	Uncurated
OG0000609	Athaliana_TAIR10||AT2G37700.1	Uncurated
OG0002479	Athaliana_TAIR10||AT2G39770.1	Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13 )
OG0002479	Athaliana_TAIR10||AT4G30570.1	Uncurated
OG0002479	Athaliana_TAIR10||AT3G55590.1	Uncurated
OG0003632	Athaliana_TAIR10||AT1G73370.1	Sucrose synthase (EC 2.4.1.13)
OG0003632	Athaliana_TAIR10||AT5G37180.1	Sucrose synthase (EC 2.4.1.13)
OG0003860	Athaliana_TAIR10||AT1G36160.1	Acetyl-coenzyme A carboxyl transferase domain of homomeric ACCase (EC 6.4.1.2) / Biotin carboxyl carrier domain of homomeric Acetyl-CoA carboxylase / Biotin carboxylase domain of homomeric ACCase (EC 6.3.4.14) # cytosol
OG0003860	Athaliana_TAIR10||AT1G36180.1	Acetyl-coenzyme A carboxyl transferase domain of homomeric ACCase (EC 6.4.1.2) / Biotin carboxyl carrier domain of homomeric Acetyl-CoA carboxylase / Biotin carboxylase domain of homomeric ACCase (EC 6.3.4.14) # plastid
OG0004855	Athaliana_TAIR10||AT4G33010.1	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2) # mitochondria
OG0004855	Athaliana_TAIR10||AT2G26080.1	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2) # mitochondria
OG0007769	Athaliana_TAIR10||AT1G08480.1	Succinate dehydrogenase (ubiquinone) plant-specific subunit SDH6 # mitochondria
OG0005405	Athaliana_TAIR10||AT5G40610.1	Glycerol-3-phosphate dehydrogenase [NAD+] (EC 1.1.1.8) # plastid
OG0003085	Athaliana_TAIR10||AT5G48220.1	Indole-3-glycerol phosphate synthase (EC 4.1.1.48) # plastid
OG0003085	Athaliana_TAIR10||AT2G04400.1	Indole-3-glycerol phosphate synthase (EC 4.1.1.48) # plastid
OG0005917	Athaliana_TAIR10||AT3G18410.1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 # mitointer
OG0005917	Athaliana_TAIR10||AT1G49140.1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 # mitointer
