Role	Aly	Ath	Bdi	Cre	Gma	Ogl	Osa	Ptr	Sbi	Vvi	Zma
(+)-abscisic acid 8'-hydroxylase	scaffold_600542.1	AT5G05690	BRADI4G43110		GLYMA02G42390|GLYMA11G35150|GLYMA14G06530|GLYMA18G03211	ORGLA11G0024300|ORGLA12G0022400	OS11G0143200|OS12G0139300	POPTR_0008s06740|POPTR_0010s19710	Sb05g002580	Vv13s0067g00660	GRMZM2G012391|GRMZM2G162737
(-)-alpha-pinene synthase (EC 4.2.3.119)		AT3G25810									
(-)-beta-pinene synthase (EC 4.2.3.120)		AT3G25810									
(2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10)	fgenesh2_kg.7__2590__AT4G17190.1|scaffold_800101.1	AT4G17190|AT5G47770	BRADI2G17990|BRADI2G47310|BRADI2G47610	CHLREDRAFT_137019	GLYMA04G34770|GLYMA09G01820|GLYMA11G31085|GLYMA15G12780|GLYMA20G11177	ORGLA01G0226700|ORGLA01G0230300|ORGLA05G0210300	OS01G0695300|OS01G0703400|OS05G0543400	POPTR_0006s00530|POPTR_0016s00570	Sb03g032280|Sb09g027190	Vv19s0015g01010	GRMZM2G079836|GRMZM2G098569|GRMZM2G147721|GRMZM2G168681
(4S)-limonene synthase (EC 4.2.3.16)		AT3G25810									
(E)-beta-ocimene synthase (EC 4.2.3.106)	Al_scaffold_0004_406|fgenesh2_kg.7__2635__AT4G16740.1|scaffold_400428.1	AT2G24210|AT3G25810|AT4G16740									
(E,E)-geranyllinalool synthase	scaffold_200484.1	AT1G61120									
(R)-4-hydroxyphenyllactate dehydrogenase (EC 1.1.1.222)	fgenesh2_kg.1__1358__AT1G12550.1|fgenesh2_kg.2__2409__AT1G79870.1	AT1G12550|AT1G79870	BRADI2G07650		GLYMA03G02281|GLYMA07G02260	ORGLA01G0072900	OS01G0228600	POPTR_0001s08400|POPTR_0003s05150	Sb03g000950	Vv02s0025g04750|Vv09s0002g04300	GRMZM2G159587
1,4-beta-D-xylan synthase (EC 2.4.2.24)	scaffold_700369.1	AT4G36890			GLYMA01G39610|GLYMA05G20910|GLYMA11G05640|GLYMA16G16280|GLYMA17G18450			POPTR_0005s18500|POPTR_0007s10660		Vv07s0031g00060	
1-acylglycerophosphocholine O-acyltransferase (EC 2.3.1.23)	fgenesh1_pm.C_scaffold_3000426|fgenesh2_kg.4__2763__AT2G45670.1	AT2G45670|AT3G05510			GLYMA03G02171|GLYMA03G39540|GLYMA07G08810|GLYMA19G42160			POPTR_0002s15320|POPTR_0005s02550|POPTR_0014s07030		Vv14s0006g01730|Vv14s0060g02200|Vv15s0048g01230	
