Role	Aly	Ath	Bdi	Cre	Gma	Ogl	Osa	Ptr	Sbi	Vvi	Zma
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54)	fgenesh2_kg.4__555__AT2G26400.1|fgenesh2_kg.7__2862__AT4G14716.1|fgenesh2_kg.8__436__AT5G43850.1|scaffold_703119.1	AT2G26400|AT4G14710|AT4G14716|AT5G43850	BRADI1G24547|BRADI1G74360|BRADI3G26930	CHLREDRAFT_137265	GLYMA07G13585|GLYMA10G38940|GLYMA10G38960|GLYMA20G28850|GLYMA20G28860	ORGLA03G0043900|ORGLA10G0088200|ORGLA10G0088300	OS03G0161800|OS10G0419400|OS10G0419500	POPTR_0008s15720|POPTR_0008s15730	Sb01g021500|Sb01g046360	Vv05s0020g04070|Vv05s0020g04080	GRMZM2G165998|GRMZM2G433446|GRMZM2G434572
1,4-alpha-glucan (starch) branching enzyme, GH-13-type (EC 2.4.1.18)	Al_scaffold_0003_2177|fgenesh1_pm.C_scaffold_4001405|scaffold_21900003.1|scaffold_600296.1	AT2G36390|AT3G20440|AT5G03650	BRADI1G41970|BRADI3G44760|BRADI5G09170	CHLREDRAFT_142128|CHLREDRAFT_94079	GLYMA03G35020|GLYMA06G46781|GLYMA18G10385|GLYMA19G37750	ORGLA02G0162800|ORGLA04G0087000	OS02G0528200|OS04G0409200|OS06G0367100	POPTR_0001s36960|POPTR_0001s36970|POPTR_0001s36980|POPTR_0006s11620	Sb03g027310|Sb04g021540|Sb06g015360	Vv08s0007g03750|Vv19s0090g00920	GRMZM2G005298|GRMZM2G032628|GRMZM2G073054
1,4-alpha-glucan phosphorylase (EC 2.4.1.1)	fgenesh1_pm.C_scaffold_5000550|fgenesh2_kg.5__1066__AT3G46970.1	AT3G29320|AT3G46970	BRADI1G08070|BRADI2G55120	CHLREDRAFT_152708	GLYMA08G45210|GLYMA13G06040|GLYMA18G07480|GLYMA19G03490|GLYMA20G03751	ORGLA01G0313200|ORGLA03G0318400	OS01G0851700|OS03G0758100	POPTR_0004s12240|POPTR_0004s12250|POPTR_0008s09350|POPTR_0009s04650	Sb01g007560|Sb03g040060	Vv06s0004g06020|Vv14s0108g01560	GRMZM2G074158|GRMZM2G085577
1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)	fgenesh2_kg.2__402__AT1G60600.1	AT1G60600	BRADI1G71860		GLYMA08G07520|GLYMA12G15155			POPTR_0017s07770	Sb01g044560	Vv03s0017g01330	
1,4-dihydroxy-2-naphthoyl-CoA hydrolase (EC 3.1.2.28), plant type	fgenesh2_kg.1__3921__AT1G48320.1|fgenesh2_kg.8__774__AT5G48950.1	AT1G48320|AT5G48950	BRADI1G12080		GLYMA09G09480|GLYMA09G37120|GLYMA15G20870|GLYMA18G49560	ORGLA03G0287200	OS03G0691400	POPTR_0010s00620|POPTR_0010s00640	Sb01g011520|Sb08g023110	Vv05s0020g00970	GRMZM2G108135
1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	fgenesh1_pm.C_scaffold_3001662|fgenesh2_kg.1__4194__AT1G51260.1|fgenesh2_kg.262__3__AT1G78690.1|fgenesh2_kg.2__1770__AT1G75020.1|fgenesh2_kg.2__2163__AT1G78690.1|fgenesh2_kg.2__2279__AT1G80950.1|fgenesh2_kg.7__1126__AT4G30580.1|scaffold_104888.1|scaffold_502939.1|scaffold_701918.1	AT1G51260|AT1G75020|AT1G78690|AT1G80950|AT3G18850|AT3G57650|AT4G24160|AT4G30580	BRADI2G28060|BRADI4G06330|BRADI4G12190|BRADI4G35382	CHLREDRAFT_121979|CHLREDRAFT_174358	GLYMA02G31320|GLYMA03G29600|GLYMA04G02900|GLYMA04G03590|GLYMA06G02921|GLYMA06G03680|GLYMA09G32750|GLYMA10G12560|GLYMA11G12830|GLYMA12G04980|GLYMA14G08400|GLYMA14G40620|GLYMA15G03885|GLYMA16G21310|GLYMA17G36670|GLYMA17G37460|GLYMA19G32420	ORGLA01G0271600|ORGLA05G0112700|ORGLA05G0191200|ORGLA09G0131600|ORGLA11G0171100	OS01G0782500|OS05G0357800|OS05G0502200|OS09G0520200|OS11G0637800	POPTR_0001s26640|POPTR_0002s02880|POPTR_0002s13420|POPTR_0002s13520|POPTR_0005s25650|POPTR_0006s05380|POPTR_0009s11540|POPTR_0011s14980|POPTR_0014s04010|POPTR_0014s04170|POPTR_0016s05340	Sb02g030150|Sb03g012600|Sb03g036470|Sb05g025420|Sb08g016610|Sb09g017530|Sb09g024780	Vv00s1546g00010|Vv03s0063g02080|Vv07s0031g03170|Vv08s0007g08110|Vv13s0067g00010|Vv18s0001g11910|Vv18s0001g12080|Vv18s0001g13610	GRMZM2G014981|GRMZM2G037104|GRMZM2G079109|GRMZM2G096010|GRMZM2G135027|GRMZM2G517332|GRMZM5G878139
1-aminocyclopropane-1-carboxylate synthase (EC 4.4.1.14)	Al_scaffold_0005_3082|fgenesh1_pg.C_scaffold_4000179|fgenesh1_pg.C_scaffold_5001472|fgenesh1_pm.C_scaffold_6002293|fgenesh1_pm.C_scaffold_6002495|fgenesh1_pm.C_scaffold_8002139|fgenesh2_kg.7__1625__AT4G26200.1|fgenesh2_kg.7__272__AT4G37770.1|scaffold_100096.1	AT1G01480|AT2G22810|AT3G49700|AT3G61510|AT4G08040|AT4G11280|AT4G26200|AT4G37770|AT5G65800	BRADI1G10030|BRADI2G05790|BRADI5G19100		GLYMA01G00700|GLYMA01G40400|GLYMA03G02861|GLYMA04G05150|GLYMA05G23020|GLYMA05G36250|GLYMA05G37410|GLYMA06G05240|GLYMA07G07160|GLYMA07G15380|GLYMA08G02130|GLYMA08G03400|GLYMA09G39060|GLYMA11G02390|GLYMA11G04890|GLYMA16G03600|GLYMA17G16990|GLYMA18G47280	ORGLA01G0056400|ORGLA03G0296500|ORGLA04G0196200|ORGLA05G0056200|ORGLA05G0098200	OS01G0192900|OS03G0727600|OS04G0578000|OS05G0196600|OS05G0319200	POPTR_0001s09850|POPTR_0002s11460|POPTR_0002s16530|POPTR_0003s13220|POPTR_0006s15410|POPTR_0007s14640|POPTR_0014s01300|POPTR_0018s06960	Sb01g009450|Sb03g003070|Sb06g026160	Vv00s0840g00010|Vv00s1437g00010|Vv02s0025g00360|Vv11s0016g02560|Vv15s0046g02220|Vv18s0001g08520	GRMZM2G054361|GRMZM2G163015|GRMZM2G164405|GRMZM5G894619
1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	fgenesh2_kg.1__1302__AT1G11990.1|fgenesh2_kg.2__241__AT1G62330.1|scaffold_802953.1	AT1G11990|AT1G62330|AT5G62790	BRADI1G44660|BRADI2G00650	CHLREDRAFT_196606	GLYMA05G02190|GLYMA07G39331|GLYMA16G10880|GLYMA17G01391|GLYMA17G09740	ORGLA01G0004200|ORGLA06G0085200|ORGLA07G0231200	OS01G0106900	POPTR_0004s00690|POPTR_0011s01550|POPTR_0012s08230|POPTR_0015s08740	Sb03g008650|Sb10g008680	Vv00s2006g00010|Vv10s0116g00130|Vv17s0000g08390	GRMZM2G036290|GRMZM2G054070|GRMZM2G056975
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	fgenesh2_kg.3__2369__AT3G21500.2|fgenesh2_kg.7__2759__AT4G15560.1|scaffold_601156.1	AT3G21500|AT4G15560|AT5G11380	BRADI2G25550	CHLREDRAFT_196568	GLYMA04G07400|GLYMA06G07491|GLYMA07G38260|GLYMA13G28470|GLYMA15G10610|GLYMA17G02480	ORGLA06G0027700	OS05G0408900|OS06G0142900	POPTR_0006s26580|POPTR_0008s20100|POPTR_0010s01910|POPTR_0018s01340	Sb09g020140|Sb10g002960	Vv04s0008g04970|Vv05s0020g02130|Vv09s0002g02050	GRMZM2G137151|GRMZM2G173641
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	scaffold_802695.1	AT5G60600	BRADI3G48080	CHLREDRAFT_55268	GLYMA12G29590|GLYMA13G40140	ORGLA02G0200300	OS02G0603800	POPTR_0004s22010|POPTR_0009s01900	Sb04g025290	Vv06s0004g02900	GRMZM2G137409
